Gene description,Gene stable ID,Gene name,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand,Gene type
CYCS pseudogene 42 [Source:HGNC Symbol;Acc:HGNC:2581],ENSG00000224524,CYCSP42,21,15490530,15490767,-1,processed_pseudogene
novel transcript,ENSG00000307760,,21,15508837,15566124,1,lncRNA
"RNA, U6 small nuclear 1326, pseudogene [Source:HGNC Symbol;Acc:HGNC:48289]",ENSG00000212564,RNU6-1326P,21,15614283,15614389,1,snRNA
RAD23B pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:9814],ENSG00000226298,RAD23BP3,21,15694300,15696581,-1,processed_pseudogene
ubiquitin specific peptidase 25 [Source:HGNC Symbol;Acc:HGNC:12624],ENSG00000155313,USP25,21,15729925,15880064,1,protein_coding
RNA binding protein with multiple splicing-like pseudogene [Source:HGNC Symbol;Acc:HGNC:9923],ENSG00000234159,RBPMSLP,21,15744004,15745080,-1,processed_pseudogene
mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274],ENSG00000215386,MIR99AHG,21,15928296,16646364,1,lncRNA
"RNA, U6 small nuclear 426, pseudogene [Source:HGNC Symbol;Acc:HGNC:47389]",ENSG00000252273,RNU6-426P,21,16035413,16035509,-1,snRNA
VDAC2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:12673],ENSG00000214976,VDAC2P1,21,16094415,16095372,-1,processed_pseudogene
ribosomal protein S26 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:23776],ENSG00000224602,RPS26P5,21,16121310,16121644,-1,processed_pseudogene
"small nucleolar RNA, C/D box 74B [Source:HGNC Symbol;Acc:HGNC:52234]",ENSG00000201025,SNORD74B,21,16284696,16284768,-1,snoRNA
novel transcript,ENSG00000270071,,21,16291077,16310484,-1,lncRNA
novel transcript,ENSG00000270139,,21,16417139,16419080,-1,lncRNA
novel transcript,ENSG00000287066,,21,16505555,16507916,-1,lncRNA
TEC,ENSG00000280432,,21,16525919,16527019,1,TEC
microRNA 99a [Source:HGNC Symbol;Acc:HGNC:31650],ENSG00000207638,MIR99A,21,16539089,16539169,1,miRNA
microRNA let-7c [Source:HGNC Symbol;Acc:HGNC:31480],ENSG00000199030,MIRLET7C,21,16539828,16539911,1,miRNA
novel transcript,ENSG00000295714,,21,16546962,16596487,-1,lncRNA
novel transcript,ENSG00000269950,,21,16574718,16582637,-1,lncRNA
microRNA 125b-2 [Source:HGNC Symbol;Acc:HGNC:31507],ENSG00000207863,MIR125B2,21,16590237,16590325,1,miRNA
novel transcript,ENSG00000237735,,21,16692123,16815688,-1,lncRNA
"RNA, U1 small nuclear 98, pseudogene [Source:HGNC Symbol;Acc:HGNC:48440]",ENSG00000239023,RNU1-98P,21,16718998,16719157,1,snRNA
novel transcript,ENSG00000304324,,21,16795026,16802836,1,lncRNA
novel transcript,ENSG00000232886,,21,16862875,16873691,-1,lncRNA
novel transcript,ENSG00000301298,,21,16902556,16903160,1,lncRNA
novel transcript,ENSG00000303199,,21,17009978,17128465,-1,lncRNA
novel transcript,ENSG00000297640,,21,17191688,17270550,1,lncRNA
NIMA-related kinase 4 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39649],ENSG00000225735,NEK4P1,21,17210469,17211347,-1,processed_pseudogene
G protein-coupled receptor 157 (GPR157) pseudogene,ENSG00000278181,,21,17296219,17296596,1,processed_pseudogene
novel transcript,ENSG00000296104,,21,17419113,17446810,-1,lncRNA
"RNA, U6 small nuclear 113, pseudogene [Source:HGNC Symbol;Acc:HGNC:47076]",ENSG00000252462,RNU6-113P,21,17431547,17431647,1,snRNA
novel transcript,ENSG00000296141,,21,17436970,17437941,1,lncRNA
long intergenic non-protein coding RNA 1549 [Source:HGNC Symbol;Acc:HGNC:1277],ENSG00000232560,LINC01549,21,17438752,17450104,1,lncRNA
"novel transcript, antisense to CXADR",ENSG00000304967,,21,17500435,17513262,-1,lncRNA
ribosomal protein L39 pseudogene 40 [Source:HGNC Symbol;Acc:HGNC:35823],ENSG00000226580,RPL39P40,21,17500679,17500824,-1,transcribed_processed_pseudogene
"RNA, 7SL, cytoplasmic 163, pseudogene [Source:HGNC Symbol;Acc:HGNC:46179]",ENSG00000266195,RN7SL163P,21,17506453,17506728,1,misc_RNA
CXADR Ig-like cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:2559],ENSG00000154639,CXADR,21,17512971,17593579,1,protein_coding
basic transcription factor 3 like 4 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39645],ENSG00000232260,BTF3L4P1,21,17518526,17518993,-1,processed_pseudogene
Y RNA [Source:RFAM;Acc:RF00019],ENSG00000200754,Y_RNA,21,17527140,17527247,-1,misc_RNA
Y RNA [Source:RFAM;Acc:RF00019],ENSG00000199962,Y_RNA,21,17576798,17576906,1,misc_RNA
BTG anti-proliferation factor 3 [Source:HGNC Symbol;Acc:HGNC:1132],ENSG00000154640,BTG3,21,17593650,17613014,-1,protein_coding
BTG3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53145],ENSG00000280594,BTG3-AS1,21,17611691,17643997,1,lncRNA
novel transcript,ENSG00000304251,,21,17648149,17658703,-1,lncRNA
novel transcript,ENSG00000226956,,21,17659272,17742327,-1,lncRNA
"novel transcript, antisense to C21orf91",ENSG00000244676,,21,17689564,17810847,1,lncRNA
TEC,ENSG00000279648,,21,17705408,17707455,1,TEC
C21orf91 overlapping transcript 1 [Source:HGNC Symbol;Acc:HGNC:16729],ENSG00000240770,C21orf91-OT1,21,17763311,17792523,-1,lncRNA
chromosome 21 open reading frame 91 [Source:HGNC Symbol;Acc:HGNC:16459],ENSG00000154642,C21orf91,21,17788974,17819386,-1,protein_coding
"novel transcript, sense intronic to CHODL",ENSG00000305890,,21,17819401,17890553,1,lncRNA
CHODL antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:1279],ENSG00000231755,CHODL-AS1,21,17835016,17885608,-1,lncRNA
ribosomal protein L37 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:17238],ENSG00000215369,RPL37P3,21,17894193,17894485,-1,processed_pseudogene
chondrolectin [Source:HGNC Symbol;Acc:HGNC:17807],ENSG00000154645,CHODL,21,17901263,18267373,1,protein_coding
"novel transcript, antisense to CHODL",ENSG00000305950,,21,17928992,17931208,-1,lncRNA
novel transcript,ENSG00000227330,,21,18022370,18114904,-1,lncRNA
"novel transcript, sense intronic to CHODL",ENSG00000302473,,21,18229344,18230508,1,lncRNA
transmembrane serine protease 15 [Source:HGNC Symbol;Acc:HGNC:9490],ENSG00000154646,TMPRSS15,21,18269116,18485879,-1,protein_coding
novel transcript,ENSG00000228708,,21,18477358,18486599,-1,lncRNA
MIR548X host gene [Source:HGNC Symbol;Acc:HGNC:52006],ENSG00000224141,MIR548XHG,21,18561265,18760320,-1,lncRNA
novel transcript,ENSG00000230233,,21,18614431,18650360,1,lncRNA
microRNA 548x [Source:HGNC Symbol;Acc:HGNC:38248],ENSG00000265841,MIR548X,21,18686090,18686164,-1,miRNA
peptidylprolyl isomerase A pseudogene 22 [Source:HGNC Symbol;Acc:HGNC:17236],ENSG00000198618,PPIAP22,21,18857779,18858276,1,processed_pseudogene
TEC,ENSG00000279156,,21,18917213,18917429,1,TEC
novel transcript,ENSG00000232193,,21,18917934,18935859,-1,lncRNA
novel transcript,ENSG00000302055,,21,18950305,18960732,1,lncRNA
novel transcript,ENSG00000226204,,21,18953264,18967058,-1,lncRNA
novel transcript,ENSG00000308275,,21,19014245,19023606,1,lncRNA
novel transcript,ENSG00000235965,,21,19046310,19047684,-1,lncRNA
novel transcript,ENSG00000229289,,21,19130523,19134423,1,lncRNA
solute carrier family 6 member 6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:11053],ENSG00000226818,SLC6A6P1,21,19244543,19246392,1,processed_pseudogene
novel transcript,ENSG00000231620,,21,19301613,19303739,1,lncRNA
"RNA, U1 small nuclear 139, pseudogene [Source:HGNC Symbol;Acc:HGNC:48481]",ENSG00000212609,RNU1-139P,21,19345148,19345312,1,snRNA
novel transcript,ENSG00000304594,,21,19494397,19494989,1,lncRNA
novel transcript,ENSG00000299426,,21,19576089,19590228,-1,lncRNA
novel transcript,ENSG00000299439,,21,19587660,19594663,1,lncRNA
ribosomal protein L37 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:17239],ENSG00000230198,RPL37P4,21,19593841,19594108,1,transcribed_processed_pseudogene
NIPA2 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:42043],ENSG00000271486,NIPA2P3,21,19620695,19621545,1,processed_pseudogene
novel transcript,ENSG00000297006,,21,19649742,19665020,1,lncRNA
SREK1IP1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54504],ENSG00000229336,SREK1IP1P1,21,19739709,19740150,1,processed_pseudogene
complement C1q binding protein pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:1244],ENSG00000215353,C1QBPP1,21,19759359,19760128,-1,processed_pseudogene
long intergenic non-protein coding RNA 1683 [Source:HGNC Symbol;Acc:HGNC:52471],ENSG00000233480,LINC01683,21,19893098,19900043,-1,lncRNA
long intergenic non-protein coding RNA 2573 [Source:HGNC Symbol;Acc:HGNC:53730],ENSG00000233236,LINC02573,21,20193597,20258820,-1,lncRNA
"RNA, U6 small nuclear 772, pseudogene [Source:HGNC Symbol;Acc:HGNC:47735]",ENSG00000251851,RNU6-772P,21,20355748,20355852,-1,snRNA
RN7SK pseudogene 147 [Source:HGNC Symbol;Acc:HGNC:45871],ENSG00000252963,RN7SKP147,21,20356653,20356896,1,misc_RNA
novel transcript,ENSG00000302886,,21,20385063,20403511,-1,lncRNA
farnesyl diphosphate synthase pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:3637],ENSG00000233676,FDPSP6,21,20388334,20388845,1,processed_pseudogene
keratin 18 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:6435],ENSG00000234439,KRT18P2,21,20424949,20426206,-1,processed_pseudogene
RPS3A pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:10422],ENSG00000233206,RPS3AP1,21,20430443,20430762,-1,processed_pseudogene
zinc finger protein 799 (ZNF799) pseudogene,ENSG00000276738,,21,20597953,20598163,1,processed_pseudogene
long intergenic non-protein coding RNA 320 [Source:HGNC Symbol;Acc:HGNC:19690],ENSG00000224924,LINC00320,21,20651450,20803816,-1,lncRNA
peptidylprolyl isomerase A pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:9254],ENSG00000215351,PPIAP1,21,20828127,20828622,-1,processed_pseudogene
novel transcript,ENSG00000309159,,21,20869260,20877566,-1,lncRNA
neural cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:7657],ENSG00000154654,NCAM2,21,20998409,21543329,1,protein_coding
novel transcript,ENSG00000226771,,21,21223295,21226829,-1,lncRNA
novel transcript,ENSG00000234730,,21,21566763,21615437,1,lncRNA
novel transcript,ENSG00000237527,,21,21655038,21686329,-1,lncRNA
novel transcript,ENSG00000303723,,21,21683563,21694640,1,lncRNA
long intergenic non-protein coding RNA 317 [Source:HGNC Symbol;Acc:HGNC:23126],ENSG00000238265,LINC00317,21,21723293,21737319,-1,lncRNA
long intergenic non-protein coding RNA 1425 [Source:HGNC Symbol;Acc:HGNC:50733],ENSG00000233997,LINC01425,21,21746928,21797419,1,lncRNA
novel transcript,ENSG00000305043,,21,21803019,21806909,-1,lncRNA
novel transcript,ENSG00000301453,,21,21816811,21844972,-1,lncRNA
novel transcript,ENSG00000227075,,21,21933315,21975681,-1,lncRNA
long intergenic non-protein coding RNA 1687 [Source:HGNC Symbol;Acc:HGNC:52474],ENSG00000233215,LINC01687,21,22008747,22098518,-1,lncRNA
long intergenic non-protein coding RNA 308 [Source:HGNC Symbol;Acc:HGNC:16023],ENSG00000184856,LINC00308,21,22098616,22116605,1,lncRNA
phosphoglycerate kinase 1 (PGK1) pseudogene,ENSG00000234340,,21,22134698,22136083,-1,processed_pseudogene
IBR domain containing 3 (IBRDC3) pseudogene,ENSG00000231136,,21,22153950,22154299,-1,processed_pseudogene
novel transcript,ENSG00000226043,,21,22200640,22420819,1,lncRNA
"RNA, U4 small nuclear 45, pseudogene [Source:HGNC Symbol;Acc:HGNC:46981]",ENSG00000202339,RNU4-45P,21,22205192,22205332,1,snRNA
novel transcript,ENSG00000295777,,21,22401972,22476391,-1,lncRNA
mitogen-activated protein kinase 6 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:16756],ENSG00000223488,MAPK6P2,21,22436290,22438349,-1,processed_pseudogene
novel transcript,ENSG00000234034,,21,22500604,22520058,-1,lncRNA
novel transcript,ENSG00000307202,,21,22598611,22601509,1,lncRNA
novel transcript,ENSG00000304016,,21,22647140,22669586,-1,lncRNA
"glomulin, FKBP associated protein (GLMN) pseudogene",ENSG00000225906,,21,22882582,22884000,1,processed_pseudogene
novel transcript,ENSG00000299538,,21,22883419,22984482,-1,lncRNA
novel transcript,ENSG00000295347,,21,22992994,22994354,-1,lncRNA
novel transcript,ENSG00000230972,,21,23065491,23131206,1,lncRNA
microRNA 6130 [Source:HGNC Symbol;Acc:HGNC:50156],ENSG00000275469,MIR6130,21,23079284,23079392,1,miRNA
"zinc finger protein 299, pseudogene [Source:HGNC Symbol;Acc:HGNC:13088]",ENSG00000219368,ZNF299P,21,23090028,23091831,-1,processed_pseudogene
Myb/SANT DNA binding domain containing 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39637],ENSG00000231058,MSANTD2P1,21,23101223,23103074,1,processed_pseudogene
novel transcript,ENSG00000286222,,21,23106928,23119903,-1,lncRNA
"RNA, U2 small nuclear 55, pseudogene [Source:HGNC Symbol;Acc:HGNC:48548]",ENSG00000223078,RNU2-55P,21,23281736,23281909,-1,snRNA
novel transcript,ENSG00000228592,,21,23352929,23423778,-1,lncRNA
eukaryotic translation elongation factor 1 alpha 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:3191],ENSG00000223822,EEF1A1P1,21,23390258,23390996,1,processed_pseudogene
tubulin alpha pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:12411],ENSG00000237569,TUBAP1,21,23407658,23409128,-1,processed_pseudogene
novel transcript,ENSG00000227716,,21,23408555,23490724,1,lncRNA
Y RNA [Source:RFAM;Acc:RF00019],ENSG00000199698,Y_RNA,21,23432181,23432282,-1,misc_RNA
novel transcript,ENSG00000288094,,21,23704248,23709345,1,lncRNA
novel transcript,ENSG00000304707,,21,23807895,23810116,1,lncRNA
novel transcript,ENSG00000287612,,21,23812612,23889150,1,lncRNA
novel transcript,ENSG00000231986,,21,23888798,23890541,-1,lncRNA
novel transcript,ENSG00000297962,,21,23953174,23957862,1,lncRNA
novel transcript,ENSG00000235564,,21,23960569,23968747,-1,lncRNA
novel transcript,ENSG00000287801,,21,23982645,24114352,-1,lncRNA
novel transcript,ENSG00000226996,,21,24043257,24050286,1,lncRNA
novel transcript,ENSG00000295448,,21,24122806,24152961,1,lncRNA
novel transcript,ENSG00000224018,,21,24154871,24192924,-1,lncRNA
long intergenic non-protein coding RNA 1684 [Source:HGNC Symbol;Acc:HGNC:52472],ENSG00000237484,LINC01684,21,24209060,24547942,1,lncRNA
novel transcript,ENSG00000294567,,21,24249159,24251483,1,lncRNA
novel transcript,ENSG00000294544,,21,24274298,24287835,1,lncRNA
long intergenic non-protein coding RNA 1689 [Source:HGNC Symbol;Acc:HGNC:52476],ENSG00000224832,LINC01689,21,24304546,24321377,-1,lncRNA
novel transcript,ENSG00000302687,,21,24811403,24814809,-1,lncRNA
long intergenic non-protein coding RNA 1692 [Source:HGNC Symbol;Acc:HGNC:52480],ENSG00000226983,LINC01692,21,24840550,25057746,1,lncRNA
novel transcript,ENSG00000227090,,21,24886676,24902756,-1,lncRNA
novel transcript,ENSG00000230379,,21,24938431,24992817,-1,lncRNA
"CTAGE family, member 4 (CTAGE4) pseudogene",ENSG00000237444,,21,25031005,25031529,-1,processed_pseudogene
novel transcript,ENSG00000244278,,21,25055535,25069906,1,lncRNA
novel transcript,ENSG00000232512,,21,25095022,25103670,1,lncRNA
RN7SK pseudogene 236 [Source:HGNC Symbol;Acc:HGNC:45960],ENSG00000274662,RN7SKP236,21,25101132,25101415,1,misc_RNA
novel transcript,ENSG00000223870,,21,25127469,25135247,1,lncRNA
novel transcript,ENSG00000222042,,21,25169427,25362494,-1,lncRNA
novel transcript,ENSG00000296786,,21,25174046,25179873,1,lncRNA
"RNA, 5S ribosomal pseudogene 489 [Source:HGNC Symbol;Acc:HGNC:43389]",ENSG00000238627,RNA5SP489,21,25202207,25202315,1,rRNA_pseudogene
ribosomal protein L13a pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:23755],ENSG00000213885,RPL13AP7,21,25361821,25362431,1,transcribed_processed_pseudogene
novel transcript,ENSG00000293050,,21,25362085,25381756,1,lncRNA
novel transcript,ENSG00000304265,,21,25370029,25372955,-1,lncRNA
TEC,ENSG00000279534,,21,25371827,25372043,1,TEC
long intergenic non-protein coding RNA 158 [Source:HGNC Symbol;Acc:HGNC:1283],ENSG00000185433,LINC00158,21,25374242,25431701,-1,lncRNA
novel transcript,ENSG00000309814,,21,25383747,25384593,1,lncRNA
novel transcript,ENSG00000229962,,21,25453289,25567169,-1,lncRNA
MIR155 host gene [Source:HGNC Symbol;Acc:HGNC:35460],ENSG00000234883,MIR155HG,21,25560592,25575168,1,lncRNA
novel transcript,ENSG00000301524,,21,25561196,25562212,-1,lncRNA
microRNA 155 [Source:HGNC Symbol;Acc:HGNC:31542],ENSG00000283904,MIR155,21,25573980,25574044,1,miRNA
"novel transcript, antisense to MRPL39",ENSG00000260583,,21,25582770,25583326,-1,lncRNA
mitochondrial ribosomal protein L39 [Source:HGNC Symbol;Acc:HGNC:14027],ENSG00000154719,MRPL39,21,25585632,25607525,-1,protein_coding
novel transcript,ENSG00000296604,,21,25607584,25608530,1,lncRNA
junctional adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:14686],ENSG00000154721,JAM2,21,25639258,25717562,1,protein_coding
RNA guanylyltransferase and 5'-phosphatase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39652],ENSG00000237731,RNGTTP1,21,25643489,25644216,1,processed_pseudogene
"novel transcript, antisense to JAM2",ENSG00000287109,,21,25646113,25654671,-1,lncRNA
ferredoxin 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:3641],ENSG00000227054,FDX1P2,21,25692180,25692554,1,processed_pseudogene
ATP synthase peripheral stalk subunit F6 [Source:HGNC Symbol;Acc:HGNC:847],ENSG00000154723,ATP5PF,21,25716005,25735721,-1,protein_coding
GA binding protein transcription factor subunit alpha [Source:HGNC Symbol;Acc:HGNC:4071],ENSG00000154727,GABPA,21,25734570,25772460,1,protein_coding
LLPH pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:50492],ENSG00000235514,LLPHP2,21,25762938,25763333,-1,processed_pseudogene
novel transcript,ENSG00000304476,,21,25779131,25791417,1,lncRNA
amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620],ENSG00000142192,APP,21,25880535,26171128,-1,protein_coding
novel transcript,ENSG00000233783,,21,25928754,25952614,1,lncRNA
"RNA, U6 small nuclear 123, pseudogene [Source:HGNC Symbol;Acc:HGNC:47086]",ENSG00000251972,RNU6-123P,21,25943044,25943145,-1,snRNA
novel transcript,ENSG00000224541,,21,26158091,26175824,1,lncRNA
APP divergent transcript [Source:HGNC Symbol;Acc:HGNC:55075],ENSG00000273492,APP-DT,21,26170871,26217381,1,lncRNA
"RNA, U6 small nuclear 926, pseudogene [Source:HGNC Symbol;Acc:HGNC:47889]",ENSG00000206802,RNU6-926P,21,26190707,26190813,1,snRNA
novel transcript,ENSG00000289899,,21,26224632,26278718,-1,lncRNA
CYYR1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39560],ENSG00000197934,CYYR1-AS1,21,26278778,26569252,1,lncRNA
novel transcript,ENSG00000286902,,21,26317390,26320773,-1,lncRNA
novel transcript,ENSG00000229025,,21,26349780,26350634,-1,lncRNA
novel transcript,ENSG00000294485,,21,26431923,26437504,-1,lncRNA
novel transcript,ENSG00000294504,,21,26437548,26441575,1,lncRNA
novel transcript,ENSG00000273115,,21,26459903,26460214,-1,lncRNA
cysteine and tyrosine rich 1 [Source:HGNC Symbol;Acc:HGNC:16274],ENSG00000166265,CYYR1,21,26466209,26573286,-1,protein_coding
novel transcript,ENSG00000304035,,21,26598630,26600840,-1,lncRNA
novel transcript,ENSG00000304522,,21,26677961,26678976,1,lncRNA
novel transcript,ENSG00000293952,,21,26709930,26710598,-1,lncRNA
novel transcript,ENSG00000304255,,21,26800964,26801635,-1,lncRNA
ADAM metallopeptidase with thrombospondin type 1 motif 1 [Source:HGNC Symbol;Acc:HGNC:217],ENSG00000154734,ADAMTS1,21,26835755,26845409,-1,protein_coding
novel transcript,ENSG00000309000,,21,26869391,26910148,-1,lncRNA
novel transcript,ENSG00000223563,,21,26889376,26939742,1,lncRNA
ADAM metallopeptidase with thrombospondin type 1 motif 5 [Source:HGNC Symbol;Acc:HGNC:221],ENSG00000154736,ADAMTS5,21,26917922,26967088,-1,protein_coding
microRNA 4759 [Source:HGNC Symbol;Acc:HGNC:41575],ENSG00000266133,MIR4759,21,26953961,26954043,1,miRNA
novel transcript,ENSG00000296857,,21,27037255,27232834,1,lncRNA
novel transcript,ENSG00000296878,,21,27107701,27115158,-1,lncRNA
glutathione peroxidase pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:4561],ENSG00000215326,GPX1P2,21,27143344,27143949,-1,processed_pseudogene
novel transcript,ENSG00000231236,,21,27358885,27448640,-1,lncRNA
novel transcript,ENSG00000236332,,21,27361121,27395787,1,lncRNA
eukaryotic translation initiation factor 4A1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:3283],ENSG00000233300,EIF4A1P1,21,27367014,27367947,-1,processed_pseudogene
ribosomal protein L10 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:10300],ENSG00000217026,RPL10P1,21,27420380,27421023,-1,processed_pseudogene
novel transcript,ENSG00000299571,,21,27420819,27428554,1,lncRNA
nicastrin pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39606],ENSG00000219592,NCSTNP1,21,27492118,27492261,1,processed_pseudogene
novel transcript,ENSG00000300745,,21,27526698,27590679,1,lncRNA
novel transcript,ENSG00000300782,,21,27572454,27572804,-1,lncRNA
novel transcript,ENSG00000300761,,21,27585802,27590455,-1,lncRNA
novel transcript,ENSG00000301912,,21,27616285,27623018,1,lncRNA
long intergenic non-protein coding RNA 1673 [Source:HGNC Symbol;Acc:HGNC:52461],ENSG00000234052,LINC01673,21,27638613,27675024,1,lncRNA
long intergenic non-protein coding RNA 113 [Source:HGNC Symbol;Acc:HGNC:1264],ENSG00000225298,LINC00113,21,27722327,27751239,1,lncRNA
novel transcript,ENSG00000303397,,21,27883613,27893722,-1,lncRNA
long intergenic non-protein coding RNA 314 [Source:HGNC Symbol;Acc:HGNC:16622],ENSG00000178457,LINC00314,21,27954905,28023232,1,lncRNA
long intergenic non-protein coding RNA 1697 [Source:HGNC Symbol;Acc:HGNC:52485],ENSG00000232079,LINC01697,21,28048404,28137611,1,lncRNA
long intergenic non-protein coding RNA 1695 [Source:HGNC Symbol;Acc:HGNC:52483],ENSG00000236532,LINC01695,21,28116094,28228667,-1,lncRNA
novel transcript,ENSG00000304889,,21,28247426,28252155,1,lncRNA
long intergenic non-protein coding RNA 3138 [Source:HGNC Symbol;Acc:HGNC:58104],ENSG00000232855,LINC03138,21,28328738,28836786,-1,lncRNA
novel transcript,ENSG00000307297,,21,28335335,28380631,1,lncRNA
novel transcript,ENSG00000307389,,21,28392575,28393335,1,lncRNA
novel transcript,ENSG00000307359,,21,28418956,28422462,1,lncRNA
long intergenic non-protein coding RNA 161 [Source:HGNC Symbol;Acc:HGNC:17138],ENSG00000226935,LINC00161,21,28539318,28543283,1,lncRNA
U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],ENSG00000283300,U6,21,28743208,28743291,1,snRNA
"HemK methyltransferase 2, ETF1 glutamine and histone H4 lysine [Source:HGNC Symbol;Acc:HGNC:16021]",ENSG00000156239,HEMK2,21,28872191,28885373,-1,protein_coding
"novel transcript, antisense to N6AMT1",ENSG00000307311,,21,28885357,28896386,1,lncRNA
heat shock protein family D (Hsp60) member 1 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:5268],ENSG00000215005,HSPD1P7,21,28887280,28889272,-1,processed_pseudogene
THUMP domain containing 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23808],ENSG00000215317,THUMPD1P1,21,28901779,28903697,-1,processed_pseudogene
novel transcript,ENSG00000296381,,21,28903682,28911170,1,lncRNA
listerin E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:13082],ENSG00000198862,LTN1,21,28928144,28992956,-1,protein_coding
"novel transcript, antisense to LTN1",ENSG00000306081,,21,28992926,28994186,1,lncRNA
novel transcript,ENSG00000308554,,21,28995235,29003544,-1,lncRNA
ribosomal protein L23 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:10324],ENSG00000176054,RPL23P2,21,28997613,28998033,-1,transcribed_processed_pseudogene
novel transcript,ENSG00000308572,,21,29002847,29003401,1,lncRNA
RWD domain containing 2B [Source:HGNC Symbol;Acc:HGNC:1302],ENSG00000156253,RWDD2B,21,29004384,29019360,-1,protein_coding
"novel transcript, antisense to USP16",ENSG00000273254,,21,29024255,29024890,-1,lncRNA
ubiquitin specific peptidase 16 [Source:HGNC Symbol;Acc:HGNC:12614],ENSG00000156256,USP16,21,29024629,29054493,1,protein_coding
chaperonin containing TCP1 subunit 8 [Source:HGNC Symbol;Acc:HGNC:1623],ENSG00000156261,CCT8,21,29055805,29073797,-1,protein_coding
"novel transcript, sense intronic to CCT8",ENSG00000231125,,21,29058073,29060095,-1,lncRNA
"novel transcript, antisense to CCT8",ENSG00000286018,,21,29063446,29064368,1,lncRNA
MAP3K7 C-terminal like [Source:HGNC Symbol;Acc:HGNC:16457],ENSG00000156265,MAP3K7CL,21,29077060,29175889,1,protein_coding
ribosomal protein L12 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:23766],ENSG00000232687,RPL12P9,21,29127701,29128188,-1,processed_pseudogene
Y RNA [Source:RFAM;Acc:RF00019],ENSG00000201984,Y_RNA,21,29139283,29139384,-1,misc_RNA
novel transcript,ENSG00000304313,,21,29178096,29182343,1,lncRNA
Small nucleolar RNA U3 [Source:RFAM;Acc:RF00012],ENSG00000212479,U3,21,29180425,29180639,-1,snoRNA
"novel transcript, antisense to BACH1",ENSG00000224649,,21,29181923,29230145,-1,lncRNA
long intergenic non-protein coding RNA 189 [Source:HGNC Symbol;Acc:HGNC:18461],ENSG00000215533,LINC00189,21,29193400,29288205,1,lncRNA
BTB domain and CNC homolog 1 [Source:HGNC Symbol;Acc:HGNC:935],ENSG00000156273,BACH1,21,29194071,29630751,1,protein_coding
glyceraldehyde-3-phosphate dehydrogenase pseudogene 14 [Source:HGNC Symbol;Acc:HGNC:4160],ENSG00000236056,GAPDHP14,21,29222321,29223257,1,processed_pseudogene
BACH1 intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:40006],ENSG00000248476,BACH1-IT1,21,29351634,29361894,1,lncRNA
"novel transcript, sense intronic BACH1",ENSG00000273017,,21,29359002,29359453,1,lncRNA
BACH1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40008],ENSG00000232118,BACH1-AS1,21,29370019,29376339,-1,lncRNA
BACH1 intronic transcript 2 [Source:HGNC Symbol;Acc:HGNC:40007],ENSG00000228817,BACH1-IT2,21,29370497,29373709,1,lncRNA
